len,p
178,8.791749821967065e-06
179,8.791749821967065e-06
180,8.791749821967065e-06
181,8.791749821967065e-06
182,8.791749821967065e-06
183,8.791749821967065e-06
184,8.791749821967065e-06
185,8.791749821967065e-06
186,8.791749821967065e-06
187,8.791749821967065e-06
188,8.791749821967065e-06
189,8.791749821967065e-06
190,8.791749821967065e-06
191,8.791749821967065e-06
192,8.791749821967065e-06
193,8.791749821967065e-06
194,8.791749821967065e-06
195,8.791749821967065e-06
196,8.791749821967065e-06
197,8.791749821967065e-06
198,8.791749821967065e-06
199,8.791749821967065e-06
200,8.791749821967065e-06
201,8.791749821967065e-06
202,8.791749821967065e-06
203,8.791749821967065e-06
204,8.791749821967065e-06
205,8.791749821967065e-06
206,8.791749821967065e-06
207,8.791749821967065e-06
208,8.791749821967065e-06
209,8.791749821967065e-06
210,8.791749821967065e-06
211,8.791749821967065e-06
212,8.791749821967065e-06
213,8.791749821967065e-06
214,8.791749821967065e-06
215,8.791749821967065e-06
216,8.791749821967065e-06
217,8.791749821967065e-06
218,8.791749821967065e-06
219,8.791749821967065e-06
220,8.791749821967065e-06
221,8.791749821967065e-06
222,8.791749821967065e-06
223,8.791749821967065e-06
224,8.791749821967065e-06
225,8.791749821967065e-06
226,8.791749821967065e-06
227,8.791749821967065e-06
228,8.791749821967065e-06
229,8.791749821967065e-06
230,8.791749821967065e-06
231,8.791749821967065e-06
232,8.791749821967065e-06
233,8.791749821967065e-06
234,8.791749821967065e-06
235,8.791749821967065e-06
236,8.791749821967065e-06
237,8.791749821967065e-06
238,8.791749821967065e-06
239,8.791749821967065e-06
240,8.791749821967065e-06
241,8.791749821967065e-06
242,8.791749821967065e-06
243,8.791749821967065e-06
244,8.791749821967065e-06
245,8.791749821967065e-06
246,8.791749821967065e-06
247,8.791749821967065e-06
248,8.791749821967065e-06
249,8.791749821967065e-06
250,8.791749821967065e-06
